,Time,Fog node,Device,Long,Lat,Cost,TimeSec,TimeMin
135,2014-02-01 00:04:39.289080,7.0,331,41.90041503869001,12.473159227520199,12.47062757142857,279,4
136,2014-02-01 00:04:41.655764,7.0,228,41.9004258237081,12.472738484481999,24.722177124999998,281,4
137,2014-02-01 00:04:43.594429,3.0,172,41.8787,12.5084,8.93495377777778,283,4
138,2014-02-01 00:04:47.743710,7.0,234,41.887596561975,12.4808351656914,36.1280572,287,4
139,2014-02-01 00:04:51.436480,7.0,317,41.8898373847412,12.474668155743599,13.071549888888889,291,4
140,2014-02-01 00:04:51.946570,7.0,232,41.887902342379704,12.4810259584549,27.917065400000002,291,4
141,2014-02-01 00:04:53.620131,8.0,321,41.95053533,12.46727804,20.874015571428572,293,4
142,2014-02-01 00:04:53.697373,3.0,295,41.8906349319758,12.506709169017698,71.7981378888889,293,4
143,2014-02-01 00:04:54.962372,7.0,331,41.90045124851171,12.473166519776,33.43924925,294,4
144,2014-02-01 00:04:56.686112,7.0,228,41.9004258237081,12.472738484481999,56.13789033333334,296,4
145,2014-02-01 00:04:58.622597,3.0,172,41.8796,12.5083,7.014169444444445,298,4
146,2014-02-01 00:04:58.735455,7.0,260,41.8964360832493,12.481418315615699,48.720891625,298,4
147,2014-02-01 00:05:02.618488,7.0,234,41.88660431895771,12.480169601942698,43.862859166666674,302,5
148,2014-02-01 00:05:03.342683,7.0,232,41.887991516700794,12.4804657888904,29.199868000000002,303,5
149,2014-02-01 00:05:06.108718,7.0,317,41.88982795671021,12.474495480321801,12.850496625,306,5
150,2014-02-01 00:05:06.228909,3.0,295,41.8906349319758,12.506709169017698,8.544095999999998,306,5
151,2014-02-01 00:05:08.960502,8.0,321,41.95053629,12.46626295,24.286871,308,5
152,2014-02-01 00:05:10.696117,7.0,331,41.90045124851171,12.473166519776,32.503303333333335,310,5
153,2014-02-01 00:05:11.190972,7.0,228,41.9004307141214,12.4728657738543,25.817898222222222,311,5
154,2014-02-01 00:05:13.604849,3.0,172,41.8804,12.5085,15.590976555555553,313,5
155,2014-02-01 00:05:17.291672,7.0,234,41.885833263446,12.4796566642961,133.23431580000002,317,5
156,2014-02-01 00:05:18.407061,7.0,232,41.888930964170896,12.480319217641899,24.450592666666665,318,5
157,2014-02-01 00:05:20.178943,7.0,260,41.8957884299825,12.477760933884099,39.80013642857143,320,5
158,2014-02-01 00:05:20.179651,7.0,260,41.8957884299825,12.477760933884099,28.881771500000003,320,5
159,2014-02-01 00:05:20.879155,3.0,295,41.8900677802238,12.5069210079267,23.809167777777777,320,5
160,2014-02-01 00:05:21.246287,7.0,260,41.8957884299825,12.477760933884099,62.482960142857145,321,5
161,2014-02-01 00:05:21.448406,7.0,317,41.8898356221467,12.4744485842271,11.10272211111111,321,5
162,2014-02-01 00:05:23.759928,8.0,321,41.95046724,12.46429923,32.923758,323,5
163,2014-02-01 00:05:24.302857,7.0,331,41.90045124851171,12.473166519776,25.131666125000002,324,5
164,2014-02-01 00:05:26.565142,7.0,228,41.9004692727369,12.472893341424902,12.97505988888889,326,5
165,2014-02-01 00:05:28.571876,3.0,172,41.8807,12.5087,26.796112333333333,328,5
166,2014-02-01 00:05:32.337389,7.0,234,41.885833263446,12.4796566642961,182.485234,332,5
167,2014-02-01 00:05:33.259588,7.0,232,41.8891014805185,12.478908194002098,21.044261000000002,333,5
168,2014-02-01 00:05:36.440231,7.0,317,41.8898356221467,12.4744485842271,21.21757722222222,336,5
169,2014-02-01 00:05:38.629824,3.0,295,41.888632768259605,12.507608057462699,16.482977444444444,338,5
170,2014-02-01 00:05:40.273443,7.0,331,41.9004324730486,12.4731748178601,24.792669111111113,340,5
171,2014-02-01 00:05:40.860305,8.0,321,41.95000049,12.46155484,8.706347000000001,340,5
172,2014-02-01 00:05:41.554128,7.0,228,41.9004719836421,12.4728827810562,36.982793,341,5
173,2014-02-01 00:05:43.611682,3.0,172,41.8809,12.5092,30.307769444444446,343,5
174,2014-02-01 00:05:46.692452,7.0,260,41.8963904695861,12.475272708559999,122.460063,346,5
175,2014-02-01 00:05:46.960152,7.0,260,41.896604655694794,12.4736456273788,23.19932,346,5
176,2014-02-01 00:05:47.738191,7.0,260,41.896604655694794,12.4736456273788,25.2563065,347,5
177,2014-02-01 00:05:48.310709,7.0,234,41.885833263446,12.4796566642961,13.771554,348,5
178,2014-02-01 00:05:50.468933,7.0,232,41.88856423153361,12.478596105362199,20.1957862,350,5
179,2014-02-01 00:05:51.179022,3.0,295,41.8878380800979,12.5073704516645,19.647214,351,5
180,2014-02-01 00:05:51.436730,7.0,317,41.8898356221467,12.4744485842271,37.80011755555555,351,5
181,2014-02-01 00:05:53.901902,8.0,321,41.95084075,12.45974713,94.464765,353,5
182,2014-02-01 00:05:54.347748,7.0,331,41.900368896313,12.473192671313901,26.807776625,354,5
183,2014-02-01 00:05:56.903496,7.0,228,41.9004719836421,12.4728827810562,22.93621911111111,356,5
184,2014-02-01 00:05:58.602299,3.0,172,41.881,12.5098,19.470340888888888,358,5
185,2014-02-01 00:06:02.615849,7.0,234,41.885833263446,12.4796566642961,31.20798666666667,362,6
186,2014-02-01 00:06:05.699470,7.0,232,41.8868389562461,12.478327506786899,28.351600750000003,365,6
187,2014-02-01 00:06:06.109329,7.0,317,41.8898356221467,12.4744485842271,39.68957266666666,366,6
188,2014-02-01 00:06:06.216736,3.0,295,41.88731736864771,12.505427503700302,30.774583555555555,366,6
189,2014-02-01 00:06:08.570629,8.0,321,41.95229867,12.45739608,38.829673666666665,368,6
190,2014-02-01 00:06:11.256867,7.0,331,41.9004386337474,12.4731954373419,52.27646566666667,371,6
191,2014-02-01 00:06:11.531925,7.0,228,41.90050366059371,12.4728937410009,51.415983250000004,371,6
192,2014-02-01 00:06:13.364088,7.0,260,41.8968385505364,12.4730104109845,29.4848925,373,6
193,2014-02-01 00:06:13.602933,3.0,172,41.8813,12.5111,12.109416666666666,373,6
194,2014-02-01 00:06:13.758012,7.0,260,41.8969792804437,12.4728905827878,19.0369415,373,6
195,2014-02-01 00:06:13.758581,7.0,260,41.8969792804437,12.4728905827878,14.976500000000001,373,6
196,2014-02-01 00:06:14.780232,7.0,260,41.8969792804437,12.4728905827878,19.270582,374,6
197,2014-02-01 00:06:17.594832,7.0,234,41.885833263446,12.4796566642961,22.11705433333334,377,6
198,2014-02-01 00:06:18.929970,7.0,232,41.885257918156796,12.4766719545793,10.575791500000001,378,6
199,2014-02-01 00:06:21.432626,7.0,317,41.8898356221467,12.4744485842271,39.14267577777778,381,6
200,2014-02-01 00:06:21.912795,3.0,295,41.8871311810873,12.5049426334304,11.728977888888888,381,6
201,2014-02-01 00:06:24.373478,8.0,321,41.95257052,12.45538095,35.11586,384,6
202,2014-02-01 00:06:24.849446,7.0,331,41.9004622707143,12.4731847923249,23.827332888888886,384,6
203,2014-02-01 00:06:26.530551,7.0,228,41.9005036567118,12.472893771839301,50.364393250000006,386,6
204,2014-02-01 00:06:28.612482,3.0,172,41.8815,12.5125,10.754722,388,6
205,2014-02-01 00:06:33.335147,7.0,232,41.8838949731674,12.474981418704902,38.89760433333333,393,6
206,2014-02-01 00:06:34.671568,7.0,234,41.885676381662606,12.479410700359301,31.9103756,394,6
207,2014-02-01 00:06:36.220917,3.0,295,41.8871311810873,12.5049426334304,4.351570555555556,396,6
208,2014-02-01 00:06:36.614055,7.0,317,41.8898356221467,12.4744485842271,56.043325428571436,396,6
209,2014-02-01 00:06:39.241184,8.0,321,41.95197585,12.45369927,52.225777,399,6
210,2014-02-01 00:06:39.290281,7.0,331,41.9004622707143,12.4731847923249,24.571348874999998,399,6
211,2014-02-01 00:06:40.692747,7.0,260,41.8970998231013,12.4727964699924,18.530042999999996,400,6
212,2014-02-01 00:06:40.989634,7.0,260,41.8970998231013,12.4727964699924,24.460834875,400,6
213,2014-02-01 00:06:40.990271,7.0,260,41.8970998231013,12.4727964699924,16.56882057142857,400,6
214,2014-02-01 00:06:41.181349,7.0,228,41.9005036567118,12.472893771839301,25.121828750000002,401,6
215,2014-02-01 00:06:41.776602,7.0,260,41.8970998231013,12.4727964699924,22.232271400000002,401,6
216,2014-02-01 00:06:43.601736,3.0,172,41.8816,12.5133,24.47692211111111,403,6
217,2014-02-01 00:06:47.889051,7.0,234,41.884275788653895,12.4775354156214,65.84625666666666,407,6
218,2014-02-01 00:06:51.386485,7.0,232,41.883934400482204,12.474146679122,96.752067625,411,6
219,2014-02-01 00:06:51.797730,7.0,317,41.8898356221467,12.4744485842271,58.9366082,411,6
220,2014-02-01 00:06:52.548826,3.0,295,41.8871311810873,12.5049426334304,8.98471411111111,412,6
221,2014-02-01 00:06:53.847896,8.0,321,41.95178084,12.45176041,38.7096665,413,6
222,2014-02-01 00:06:54.982290,7.0,331,41.9004622707143,12.4731847923249,12.533373625000001,414,6
